form	wsafter	anas	lemma	xpostag
# newdoc id = http://108.hu/ajurveda-a-hosszu-es-boldog-elet-titka
# newpar id = p1
# text = Ájurvéda – A hosszú és boldog élet titka
Ájurvéda	" "	[{"lemma": "Ájurvéda", "tag": "[/N][Nom]", "morphana": "Ájurvéda[/N]=Ájurvéda+[Nom]=", "readable": "Ájurvéda[/N] + [Nom]", "twolevel": "Á:Á j:j u:u r:r v:v é:é d:d a:a :[/N] :[Nom]"}]	Ájurvéda	[/N][Nom]
–	" "	[{"lemma": "", "tag": "[Hyph:Dash]", "morphana": "–[Hyph:Dash]=–", "readable": "–[Hyph:Dash]", "twolevel": "–:– :[Hyph:Dash]"}]	–	[Hyph:Dash]
A	" "	[{"lemma": "A", "tag": "[/N][Nom]", "morphana": "A[/N|Unit|Abbr]=A+[Nom]=", "readable": "A[/N|Unit|Abbr] + [Nom]", "twolevel": "A:A :[/N|Unit|Abbr] :[Nom]"}, {"lemma": "a", "tag": "[/Det|Art.Def]", "morphana": "a[/Det|Art.Def]=a", "readable": "a[/Det|Art.Def]", "twolevel": "a:a :[/Det|Art.Def]"}, {"lemma": "a", "tag": "[/Det|Pro|(Post)]", "morphana": "a[/Det|Pro|(Post)]=a", "readable": "a[/Det|Pro|(Post)]", "twolevel": "a:a :[/Det|Pro|(Post)]"}, {"lemma": "a", "tag": "[/N][Nom]", "morphana": "a[/N|Ltr]=a+[Nom]=", "readable": "a[/N|Ltr] + [Nom]", "twolevel": "a:a :[/N|Ltr] :[Nom]"}, {"lemma": "a", "tag": "[/N|Pro|(Post)][Nom]", "morphana": "a[/N|Pro|(Post)]=a+[Nom]=", "readable": "a[/N|Pro|(Post)] + [Nom]", "twolevel": "a:a :[/N|Pro|(Post)] :[Nom]"}]	a	[/Det|Art.Def]
hosszú	" "	[{"lemma": "hosszú", "tag": "[/Adj][Nom]", "morphana": "hossz[/N]=hossz+ú[_Adjz:Ú/Adj]=ú+[Nom]=", "readable": "hossz[/N] + ú[_Adjz:Ú/Adj] + [Nom]", "twolevel": "h:h o:o s:s s:s z:z :[/N] ú:ú :[_Adjz:Ú/Adj] :[Nom]"}, {"lemma": "hosszú", "tag": "[/Adj][Nom]", "morphana": "hosszú[/Adj]=hosszú+[Nom]=", "readable": "hosszú[/Adj] + [Nom]", "twolevel": "h:h o:o s:s s:s z:z ú:ú :[/Adj] :[Nom]"}]	hosszú	[/Adj][Nom]
és	" "	[{"lemma": "és", "tag": "[/Cnj]", "morphana": "és[/Cnj]=és", "readable": "és[/Cnj]", "twolevel": "é:é s:s :[/Cnj]"}]	és	[/Cnj]
boldog	" "	[{"lemma": "boldog", "tag": "[/Adj][Nom]", "morphana": "boldog[/Adj]=boldog+[Nom]=", "readable": "boldog[/Adj] + [Nom]", "twolevel": "b:b o:o l:l d:d o:o g:g :[/Adj] :[Nom]"}, {"lemma": "boldog", "tag": "[/N][Nom]", "morphana": "boldog[/N]=boldog+[Nom]=", "readable": "boldog[/N] + [Nom]", "twolevel": "b:b o:o l:l d:d o:o g:g :[/N] :[Nom]"}]	boldog	[/Adj][Nom]
élet	" "	[{"lemma": "él", "tag": "[/N][Acc]", "morphana": "él[/N]=él+et[Acc]=et", "readable": "él[/N] + et[Acc]", "twolevel": "é:é l:l :[/N] e:e t:t :[Acc]"}, {"lemma": "élet", "tag": "[/N][Nom]", "morphana": "élet[/N]=élet+[Nom]=", "readable": "élet[/N] + [Nom]", "twolevel": "é:é l:l e:e t:t :[/N] :[Nom]"}]	élet	[/N][Nom]
titka	"\n\n"	[{"lemma": "titok", "tag": "[/N][Poss.3Sg][Nom]", "morphana": "titok[/N]=titk+a[Poss.3Sg]=a+[Nom]=", "readable": "titok[/N]=titk + a[Poss.3Sg] + [Nom]", "twolevel": "t:t i:i t:t :o k:k :[/N] a:a :[Poss.3Sg] :[Nom]"}]	titok	[/N][Poss.3Sg][Nom]

# newpar id = p2
# text = Az ájurvéda a holisztikus gyógyászat szellemében a testünket és lelkünket irányító folyamatok harmonizálására törekszik, és tanulmányozói egyénileg is kivitelezhető tanácsokat, gyógymódokat ismerhetnek meg, amelyek által életük teljesebb, boldogabb és harmonikusabb lesz.
Az	" "	[{"lemma": "az", "tag": "[/Det|Art.Def]", "morphana": "az[/Det|Art.Def]=az", "readable": "az[/Det|Art.Def]", "twolevel": "a:a z:z :[/Det|Art.Def]"}, {"lemma": "az", "tag": "[/Det|Pro][Nom]", "morphana": "az[/Det|Pro]=az+[Nom]=", "readable": "az[/Det|Pro] + [Nom]", "twolevel": "a:a z:z :[/Det|Pro] :[Nom]"}, {"lemma": "az", "tag": "[/N|Pro][Nom]", "morphana": "az[/N|Pro]=az+[Nom]=", "readable": "az[/N|Pro] + [Nom]", "twolevel": "a:a z:z :[/N|Pro] :[Nom]"}]	az	[/Det|Art.Def]
ájurvéda	" "	[]	ájurvéda	[/N][Nom]
a	" "	[{"lemma": "a", "tag": "[/Det|Art.Def]", "morphana": "a[/Det|Art.Def]=a", "readable": "a[/Det|Art.Def]", "twolevel": "a:a :[/Det|Art.Def]"}, {"lemma": "a", "tag": "[/Det|Pro|(Post)]", "morphana": "a[/Det|Pro|(Post)]=a", "readable": "a[/Det|Pro|(Post)]", "twolevel": "a:a :[/Det|Pro|(Post)]"}, {"lemma": "a", "tag": "[/N][Nom]", "morphana": "a[/N|Ltr]=a+[Nom]=", "readable": "a[/N|Ltr] + [Nom]", "twolevel": "a:a :[/N|Ltr] :[Nom]"}, {"lemma": "a", "tag": "[/N|Pro|(Post)][Nom]", "morphana": "a[/N|Pro|(Post)]=a+[Nom]=", "readable": "a[/N|Pro|(Post)] + [Nom]", "twolevel": "a:a :[/N|Pro|(Post)] :[Nom]"}]	a	[/Det|Art.Def]
holisztikus	" "	[{"lemma": "holisztikus", "tag": "[/Adj][Nom]", "morphana": "holisztikus[/Adj]=holisztikus+[Nom]=", "readable": "holisztikus[/Adj] + [Nom]", "twolevel": "h:h o:o l:l i:i s:s z:z t:t i:i k:k u:u s:s :[/Adj] :[Nom]"}]	holisztikus	[/Adj][Nom]
gyógyászat	" "	[{"lemma": "gyógyászat", "tag": "[/N][Nom]", "morphana": "gyógyászat[/N]=gyógyászat+[Nom]=", "readable": "gyógyászat[/N] + [Nom]", "twolevel": "g:g y:y ó:ó g:g y:y á:á s:s z:z a:a t:t :[/N] :[Nom]"}]	gyógyászat	[/N][Nom]
szellemében	" "	[{"lemma": "szellem", "tag": "[/N][Poss.3Sg][Ine]", "morphana": "szellem[/N]=szellem+e[Poss.3Sg]=é+ben[Ine]=ben", "readable": "szellem[/N] + e[Poss.3Sg]=é + ben[Ine]", "twolevel": "s:s z:z e:e l:l l:l e:e m:m :[/N] é:e :[Poss.3Sg] b:b e:e n:n :[Ine]"}, {"lemma": "szellem", "tag": "[/N][AnP][Ine]", "morphana": "szellem[/N]=szellem+é[AnP]=é+ben[Ine]=ben", "readable": "szellem[/N] + é[AnP] + ben[Ine]", "twolevel": "s:s z:z e:e l:l l:l e:e m:m :[/N] é:é :[AnP] b:b e:e n:n :[Ine]"}]	szellem	[/N][Poss.3Sg][Ine]
a	" "	[{"lemma": "a", "tag": "[/Det|Art.Def]", "morphana": "a[/Det|Art.Def]=a", "readable": "a[/Det|Art.Def]", "twolevel": "a:a :[/Det|Art.Def]"}, {"lemma": "a", "tag": "[/Det|Pro|(Post)]", "morphana": "a[/Det|Pro|(Post)]=a", "readable": "a[/Det|Pro|(Post)]", "twolevel": "a:a :[/Det|Pro|(Post)]"}, {"lemma": "a", "tag": "[/N][Nom]", "morphana": "a[/N|Ltr]=a+[Nom]=", "readable": "a[/N|Ltr] + [Nom]", "twolevel": "a:a :[/N|Ltr] :[Nom]"}, {"lemma": "a", "tag": "[/N|Pro|(Post)][Nom]", "morphana": "a[/N|Pro|(Post)]=a+[Nom]=", "readable": "a[/N|Pro|(Post)] + [Nom]", "twolevel": "a:a :[/N|Pro|(Post)] :[Nom]"}]	a	[/Det|Art.Def]
testünket	" "	[{"lemma": "test", "tag": "[/N][Poss.1Pl][Acc]", "morphana": "test[/N]=test+ünk[Poss.1Pl]=ünk+et[Acc]=et", "readable": "test[/N] + ünk[Poss.1Pl] + et[Acc]", "twolevel": "t:t e:e s:s t:t :[/N] ü:ü n:n k:k :[Poss.1Pl] e:e t:t :[Acc]"}]	test	[/N][Poss.1Pl][Acc]
és	" "	[{"lemma": "és", "tag": "[/Cnj]", "morphana": "és[/Cnj]=és", "readable": "és[/Cnj]", "twolevel": "é:é s:s :[/Cnj]"}]	és	[/Cnj]
lelkünket	" "	[{"lemma": "lélek", "tag": "[/N][Poss.1Pl][Acc]", "morphana": "lélek[/N]=lelk+ünk[Poss.1Pl]=ünk+et[Acc]=et", "readable": "lélek[/N]=lelk + ünk[Poss.1Pl] + et[Acc]", "twolevel": "l:l e:é l:l :e k:k :[/N] ü:ü n:n k:k :[Poss.1Pl] e:e t:t :[Acc]"}]	lélek	[/N][Poss.1Pl][Acc]
irányító	" "	[{"lemma": "irányító", "tag": "[/Adj][Nom]", "morphana": "irányít[/V]=irányít+ó[_ImpfPtcp/Adj]=ó+[Nom]=", "readable": "irányít[/V] + ó[_ImpfPtcp/Adj] + [Nom]", "twolevel": "i:i r:r á:á n:n y:y í:í t:t :[/V] ó:ó :[_ImpfPtcp/Adj] :[Nom]"}, {"lemma": "irányító", "tag": "[/N][Nom]", "morphana": "irányító[/N]=irányító+[Nom]=", "readable": "irányító[/N] + [Nom]", "twolevel": "i:i r:r á:á n:n y:y í:í t:t ó:ó :[/N] :[Nom]"}]	irányító	[/Adj][Nom]
folyamatok	" "	[{"lemma": "folyamat", "tag": "[/N][Pl][Nom]", "morphana": "folyamat[/N]=folyamat+ok[Pl]=ok+[Nom]=", "readable": "folyamat[/N] + ok[Pl] + [Nom]", "twolevel": "f:f o:o l:l y:y a:a m:m a:a t:t :[/N] o:o k:k :[Pl] :[Nom]"}]	folyamat	[/N][Pl][Nom]
